Use categories,sub-use,applications,substance name,cas,elemental composition,primary source,secondary source
Energy sector,Oil and gas application,Production chemicals,"2-Propenoic acid, 2-methyl-, 2-[methyl[(1,1,2,2,3,3,4,4,4-nonafluorobutyl)sulfonyl]amino]ethyl ester, polymer with octadecyl 2-methyl-2-propenoate",819069-72-2,(C11H12F9NO4S.C22H42O2)x,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"2-Propenoic acid, 2-methyl-, docosyl ester, polymer with 2-[methyl[(1,1,2,2,3,3,4,4,4-nonafluorobutyl)sulfonyl]amino]ethyl 2-methyl-2-propenoate",1040208-85-2,(C11H12F9NO4S.C26H50O2)x,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"1-Propanaminium, 3-[[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro octyl)sulfonyl]amino]-N,N,N-trimethyl-, bromide (1:1)",73149-44-7,C8F17SO2NHCH2CH2CH2N+(CH3)3,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"1-Propanaminium, 3-[[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-, fluoride (1:1)",73149-43-6,C8F17SO2NHCH2CH2CH2N+(CH3)3,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"1-Propanaminium, 3-[[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluoro octyl)sulfonyl]amino]-N,N,N-trimethyl-, chloride (1:1)",38006-74-5,C8F17SO2NHCH2CH2CH2N+(CH3)3,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"1-Propanaminium, 3-[[(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctyl)sulfonyl]amino]-N,N,N-trimethyl-, iodide (1:1)",1652-63-7,C8F17SO2NHCH2CH2CH2N+(CH3)3,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,8:2 Fluorotelomer alcohol,678-39-7,C8F17CH2CH2OH,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"Ethanol, 2-[2-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)oxy]ethoxy]-",56900-98-2,C8F17CH2CH2(OCH2CH2)2OH,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"3,6,9,12-Tetraoxadocosan-1-ol, 15,15,16,16,17,17,18,18,19, 19,20,20,21,21,22,22,22-heptadecafluoro-",55427-54-8,C8F17CH2CH2(OCH2CH2)4OH,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"3,6,9,12,15,18-Hexaoxaoctacosan-1-ol, 21,21,22,22,23, 23,24,24,25,25,26,26,27,27,28,28,28-heptadecafluoro-",88247-39-6,C8F17CH2CH2(OCH2CH2)6OH,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"3,6,9,12,15,18,21,24-Octaoxatetratriacontan-1-ol, 27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,34-heptadecafluoro-",88247-40-9,C8F17CH2CH2(OCH2CH2)8OH,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"Propanol, [2-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)oxy]methylethoxy]-",88243-13-4,2 -CH2 C8F17CH2CH2(OCH2CH2)2OH,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"Ethanol, 2-[2-[2-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)oxy]methylethoxy]methylethoxy]-",88243-12-3,2 -CH2 C8F17CH2CH2(OCH2CH2)3OH,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"3,6,9,12-Tetraoxadocosan-1-ol, 15,15,16,16,17,17,18,18,19,19, 20,20,21,21,22,22,22-heptadecafluorodimethyl-",88271-22-1,2 -CH2 C8F17CH2CH2(OCH2CH2)4OH,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"3,6,9,12-Tetraoxadocosan-1-ol, 15,15,16,16,17,17,18,18,19,19, 20,20,21,21,22,22,22-heptadecafluorotetramethyl-",88243-14-5,4 -CH2 C8F17CH2CH2(OCH2CH2)4OH,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"3,6,9,12,15-Pentaoxapentacosan-1-ol, 18,18,19,19,20, 20,21,21,22,22,23,23,24,24,25,25,25-heptadecafluoropentamethyl-",88243-15-6,5 -CH2 C8F17CH2CH2(OCH2CH2)5OH,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"3,6,9,12,15,18-Hexaoxaoctacosan-1-ol, 21,21,22,22,23,23,24, 24,25,25,26,26,27,27,28,28,28-heptadecafluoropentamethyl-",88243-11-2,5 -CH2 C8F17CH2CH2(OCH2CH2)6OH,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"3,6,9,12,15,18-Hexaoxaoctacosan-1-ol, 21,21,22,22,23,23, 24,24,25,25,26,26,27,27,28,28,28-heptadecafluoro hexamethyl-",88243-16-7,6 -CH2 C8F17CH2CH2(OCH2CH2)6OH,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"3,6,9,12,15,18,21-Heptaoxahentriacontan-1-ol, 24,24,25,25, 26,26,27,27,28,28,29,29,30,30,31,31,31-heptadecafluoropentamethyl-",88243-10-1,5 -CH2 C8F17CH2CH2(OCH2CH2)7OH,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"3,6,9,12,15,18,21,24-Octaoxatetratriacontan-1-ol, 27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,34-heptadecafluorooctamethyl-",88243-17-8,8 -CH2 C8F17CH2CH2(OCH2CH2)8OH,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"3,6,9,12,15-Pentaoxapentacosan-1-ol, 18,18,19,19,20, 20,21,21,22,22,23,23,24,24,25,25,25-heptadecafluoropentamethyl-, acetate",88243-09-8,5 -CH2 C8F17CH2CH2(OCH2CH2)5OC(=O)CH3,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"Poly[oxy(methyl-1,2-ethanediyl)], α-(3,3,4,4,5,5,6,6,7,7,8,8, 9,9,10,10,10-heptadecafluorodecyl)-ω-hydroxy-",58285-35-1,C8F17CH2CH2(OCH2CH2CH2)nOH,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,Methyl perfluorobutyl ether,163702-07-6,C4F9OCH3,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,Ethyl perfluorobutyl ether,163702-05-4,C4F9OCH2CH3,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,Methyl perfluoroisobutyl ether,163702-08-7,CF3CF(CF3)CF2OCH3,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"1-Octanamine, 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-N,N-dimethyl-, N-oxide",-,C5F11SO3H,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"1-Decanamine, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluoro-N,N-dimethyl-, N-oxide",-,C5F11SO3H,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"1-Dodecanamine, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-nonadecafluoro-N,N-dimethyl-, N-oxide",-,C5F11SO3H,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"1-Octanesulfonamide, N-[3-(dimethyloxidoamino)propyl]-3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-",80475-32-7,C6F13CH2CH2SO2NHCH2CH2CH2N(=O)(CH3)2,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,6:2 Fluorotelomer sulfonamide betaine,34455-29-3,C6F13CH2CH2SO2NHCH2CH2CH2N+(CH3)2CH2COOH,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"Benzenesulfonic acid, 4-[[3,4,4,4-tetrafluoro-2-[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-1,3-bis(trifluoromethyl)-1-buten-1-yl]oxy]-, sodium salt (1:1)",70829-87-7,CF3CF(CF3)C[CF(CF3)2]=C(CF3)OC6H4SO3H,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,Polytetrafluoroethylene,9002-84-0,(CF2CF2)x,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"1-Propanesulfonic acid, 2-methyl-, 2-[[1-oxo-3-[(γ-ω-perfluoro-C4-16-alkyl)thio]propyl]amino] derivs., sodium salts",68187-47-3,-,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,"Thiols, C8-20, γ-ω-perfluoro, telomers with acrylamide",70969-47-0,-,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,Tetraethylammonium perfluorooctane sulfonate,56773-42-3,C8F17SO3H,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,Potassium perfluorobutane sulfonate,29420-49-3,C4F9SO3H,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,N-Ethyl perfluorooctane sulfonamidoethanol,1691-99-2,C8F17SO2N(C2H5)CH2CH2OH,Glüge et al. (2020),
Energy sector,Oil and gas application,Production chemicals,Perfluorooctane sulfonamide,754-91-6,C8F17SO2NH2,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,Perfluoromethylcyclopentane,1805-22-7,C6F12,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,Perfluoromethylcyclohexane,355-02-2,C7F14,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,"Perfluoro-1,2-dimethylcyclohexane",306-98-9,C8F16,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,"Perfluoro-1,3-dimethylcyclohexane",355-27-3,C8F16,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,"Perfluoro-1,4-dimethylcyclohexane",374-77-6,C8F16,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,"Perfluoro-1,3,5-trimethylcyclohexane",374-76-5,C9F18,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,Perfluoroethylcyclohexane,335-21-7,C8F16,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,"Perfluoro-1,3-diethylcyclohexane",335-23-9,C10F20,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,Perfluoropropylcyclohexane,374-59-4,C9F18,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,Perfluoro-iso-propylcyclohexane,423-02-9,C9F18,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,"Perfluoro-1,3-diisopropylcylcohexane",75169-51-6,C12F24,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,Perfluorodecalin,306-94-5,C10F18,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,Perfluoromethyldecalin,306-92-3,C11F20,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,Perfluoroindane,374-80-1,C9F10,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,Perfluoroperhydrofluorene,307-08-4,C13F22,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,Perfluorotetradecahydrophenanthrene,306-91-2,C14F24,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,Perfluoroperhydrobenzyl tetralin,116265-66-8,C17F30,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,Perfluoroperhydrofluoranthene,662-28-2,C16F26,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,Perfluorpentane,678-26-2,C5F12,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,Perfluoroheptane,335-57-9,C7F16,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,Perfluorooctane,307-34-6 ,C8F18,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,Perfluoro-2-methylpentane,355-04-4,CF3CF(CF3)CF2CF2CF3,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,Perfluoro-3-ethylpentane,2690-05-3,CF3CF2CF(C2F5)2,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,Perfluoro-2-methyl-3-ethylpentane,354-97-2,CF3CF2CF(C2F5)CF(CF3)2,Glüge et al. (2020),
Energy sector,Oil and gas application,Water and gas tracers,"Perfluoro-2,4-dimethyl-3-ethylpentane",50285-18-2,CF3CF2CF[CF(CF3)2]2,Glüge et al. (2020),
Energy sector,Oil and gas application,Lubricant and lubricant additives,"1-Propene, 1,1,2,3,3,3-hexafluoro-, oxidized",69991-67-9,,ECHA (2023a),
Energy sector,Oil and gas application,Lubricant and lubricant additives,"Ethene, 1,1,2,2-tetrafluoro-, oxidized",69991-61-3,,ECHA (2023a),
Energy sector,Oil and gas application,Lubricant and lubricant additives,"Poly[oxy[trifluoro(trifluoromethyl)-1,2-ethanediyl]], α-(1,1,2,2,2-pentafluoroethyl)-ω",60164-51-4,,ECHA (2023a),
Energy sector,Oil and gas application,Lubricant and lubricant additives,"Oxetane, 2,2,3,3-tetrafluoro-, homoPolymer, fluorinated",113114-19-5,,ECHA (2023a),
Energy sector,Oil and gas application,Lubricant and lubricant additives,"Siloxanes and Silicones, Me 3,3,3-trifluoropropyl",63148-56-1,,ECHA (2023a),
Energy sector,Oil and gas application,Lubricant and lubricant additives,Polychlorotrifluoroethylene,9002-83-9 ,,ECHA (2023a),
Energy sector,Oil and gas application,Lubricant and lubricant additives,"1-Propene, 1,1,2,3,3,3-hexafluoro-, oxidized, Polymerized, reduced hydrolyzed",161075-14-5,,ECHA (2023a),
Energy sector,Oil and gas application,Lubricant and lubricant additives,"1-Propene, 1,1,2,3,3,3-hexafluoro-, oxidized, polymd., reduced, hydrolysed reaction products with ammonia",370097-12-4,,ECHA (2023a),
Energy sector,Oil and gas application,Lubricant and lubricant additives,Polytetrafluoroethylene,9002-84-0,(CF2CF2)x,ECHA (2023a),
Energy sector,Oil and gas application,Lubricant and lubricant additives,"C ycloalkanesulfonic acid, perfluoro(pentafluoroethyl)-, potassium salt (1:1)",67584-42-3,,ECHA (2023a),
Energy sector,Oil and gas application,Lubricant and lubricant additives,"Poly[oxy[trifluoro(trifluoromethyl)-1,2-ethane diyl]], α-(1- carboxy1,2,2,2-tetrafluoroethyl)-ω-[tetrafluoro (trifluoromethyl)ethoxy]-",51798-33-5,,ECHA (2023a),
Energy sector,Oil and gas application,Lubricant and lubricant additives,6:2 Fluorotelomer alcohol,647-42-7,,Glüge et al. (2020),
Energy sector,Oil and gas application,Lubricant and lubricant additives,8:2 Fluorotelomer alcohol,678-39-7,,Glüge et al. (2020),
Energy sector,Oil and gas application,Lubricant and lubricant additives,10:2 Fluorotelomer alcohol,865-86-1,,Glüge et al. (2020),
Energy sector,Oil and gas application,Lubricant and lubricant additives,"Poly(difluoromethylene), α-chloro-ω-(2,2-dichloro-1,1,2-trifluoroethyl)-",79070-11-4,,Glüge et al. (2020),
Energy sector,Oil and gas application,Lubricant and lubricant additives,"Poly(difluoromethylene), α-(cyclohexylmethyl)-ω-hydro-",65530-85-0,,Glüge et al. (2020),
Energy sector,Oil and gas application,Lubricant and lubricant additives,"Poly[oxy[trifluoro(trifluoromethyl)-1,2-ethanediyl]], α-(1,1,2,2,3,3,3-heptafluoropropyl)-ω-(1,1,2,2,2-pentafluoroethoxy)-",52700-35-3,,Glüge et al. (2020),
Energy sector,Oil and gas application,Lubricant and lubricant additives,Propylene tetrafluorethylene copolymer,27029-05-6,,Glüge et al. (2020),
Energy sector,Oil and gas application,Lubricant additives (e.g. for bike chains),"3,5,7,10,13-Pentaoxapentadecanedioic acid, 2,2,4,4,6,6,8,8, 9,9,11,11,12,12,14,14-hexadecafluoro-, sodium salt (1:2)",88707-87-3,2 CO2HOHC(O)CF2OCF2CF2OCF2CF2(OCF2)3COOH,Glüge et al. (2020),
Energy sector,Oil and gas application,Lubricant additives (e.g. for bike chains),"Phosphine, tris[4-[4,4,6,7,7,9,10,10,12,13,13,15,15,15-tetradecafluoro-6,9,12-tris(trifluoromethyl)-2,5,8,11,14-pentaoxapentade1-yl]phenyl]-",88750-33-8,P[C6H4CH2OCH2(CF2OCF(CF3))3CF2OCF3]3,Glüge et al. (2020),
Energy sector,Oil and gas application,Lubricant additives (e.g. for bike chains),"Ethanesulfonic acid, 1,1,2,2-tetrafluoro-2-(1,1,2,2,3,3,4,4,4-nonafluorobutoxy)-, potassium salt (1:1)",88707-88-4,C4F9OC2F4SO3H,Glüge et al. (2020),
Energy sector,Oil and gas application,Lubricant and lubricant additives,"Poly[oxy[trifluoro(trifluoromethyl)-1,2-ethanediyl]], α,α′,α′′-[phosphinidynetris[oxy[1-fluoro-1-(trifluoromethyl)-2,1-ethanediyl]]]tris[ω-(1,1,2,2,3,3,3-heptafluoropropoxy)-",2247153-51-9,,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Fluoroprotein foam,Ammonium perfluorooctanoate ,3825-26-1,C7F15COOH,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Fluoroprotein foam,Potassium perfluorodecanoate ,51604-85-4,C9F19COOH,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Fluoroprotein foam,"Benzenesulfonic acid, [(heptadecafluorooctyl)oxy]-, sodium salt",41674-07-1,C6H6 C8F17OSO3H,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Fluoroprotein foam,"1,3-Benzenedicarboxylic acid, [(heptadecafluorooctyl)oxy]-, calcium salt",97746-87-7,C6H4(COOH)2 C8F17O,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Film forming fluoroprotein (FFFP) foam,"1-Propanesulfonic acid, 2-[[3-[(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)sulfinyl]-1-oxopropyl]amino]-2-methyl-",1513864-10-2,C6F13CH2CH2S(O)CH2CH2C(O)NHC(CH3)2CH2SO3H,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Film forming fluoroprotein (FFFP) foam,"1-Propanesulfonic acid, 2-[[3-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10, 10,10-heptadecafluorodecyl)sulfinyl]-1-oxopropyl]amino]-2-methyl-",1513864-12-4,C8F17CH2CH2S(O)CH2CH2C(O)NHC(CH3)2CH2SO3H,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Film forming fluoroprotein (FFFP) foam,"1-Propanaminium, N,N,N-trimethyl-3-[[2-[(3,3,4,4, 5,5,6,6,7,7,8,8,8-tridecafluorooctyl)sulfinyl]acetyl]amino]-",1513864-03-3,C6F13CH2CH2S(O)CH2C(O)NHCH2CH2CH2N+(CH3)3,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Film forming fluoroprotein (FFFP) foam,"1-Propanesulfonic acid, 2-[[3-[(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)thio]-1-oxopropyl]amino]-2-methyl-",62880-95-9,C6F13CH2CH2SCH2CH2C(O)NHC(CH3)2CH2SO3H,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Film forming fluoroprotein (FFFP) foam,"1-Propanaminium, 2-hydroxy-N,N,N-trimethyl-3-[(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)thio]-",88992-46-5,C6F13CH2CH2SCH2CH(OH)CH2N+(CH3)3,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Film forming fluoroprotein (FFFP) foam,"Benzenesulfonic acid, 4-[[3,4,4,4-tetrafluoro-2-[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-1,3-bis(trifluoromethyl)-1-buten-1-yl]oxy]-, sodium salt (1:1)",70829-87-7,CF3CF(CF3)C[CF(CF3)2]=C(CF3)OC6H4SO3H,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Alcohol-resistant film forming fluoroprotein (AR-FFFP) foam,"1-Octanesulfonamide, N-[3-(dimethylamino)propyl]-3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-",34455-22-6,C6F13CH2CH2SO2NHCH2CH2CH2N(CH3)2,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Alcohol-resistant film forming fluoroprotein (AR-FFFP) foam,6:2 Fluorotelomer sulfonamide betaine,34455-29-3,C6F13CH2CH2SO2NHCH2CH2CH2N+(CH3)2CH2COOH,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Alcohol-resistant film forming fluoroprotein (AR-FFFP) foam,6:2 Fluorotelomer sulfonic acid (6:2 FTS),27619-97-2,C6F13CH2CH2SO3H,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Alcohol-resistant film forming fluoroprotein (AR-FFFP) foam,"1-Propanesulfonic acid, 2-[[3-[(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)sulfinyl]-1-oxopropyl]amino]-2-methyl-",1513864-10-2,C6F13CH2CH2S(O)CH2CH2C(O)NHC(CH3)2CH2SO3H,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Alcohol-resistant film forming fluoroprotein (AR-FFFP) foam,"1-Propanaminium, 2-hydroxy-N,N,N-trimethyl-3-[(3,3,4,4, 5,5,6,6,7,7,8,8,8-tridecafluorooctyl)sulfinyl]-",1513864-18-0,C6F13CH2CH2S(O)CH2CH(OH)CH2N+(CH3)3,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Alcohol-resistant film forming fluoroprotein (AR-FFFP) foam,"1-Propanesulfonic acid, 2-[[3-[(3,3,4,4,5,5,6,6,6-nonafluorohexyl)thio]-1-oxopropyl]amino]-2-methyl-",1333933-57-5,C4F9CH2CH2SCH2CH2C(O)NHC(CH3)2CH2SO3H,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Alcohol-resistant film forming fluoroprotein (AR-FFFP) foam,"1-Propanesulfonic acid, 2-[[3-[(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)thio]-1-oxopropyl]amino]-2-methyl-",62880-95-9,C6F13CH2CH2SCH2CH2C(O)NHC(CH3)2CH2SO3H,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Alcohol-resistant film forming fluoroprotein (AR-FFFP) foam,(n:2) Fluorotelomer thioether acetic acid,-,C5F11SO3H,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Alcohol-resistant film forming fluoroprotein (AR-FFFP) foam,"1-Propanaminium, 2-hydroxy-N,N,N-trimethyl-3-[(3,3,4,4,5,5,6,6,6-nonafluorohexyl)thio]-",1513864-16-8,C4F9CH2CH2SCH2CH(OH)CH2N+(CH3)3,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Alcohol-resistant film forming fluoroprotein (AR-FFFP) foam,"1-Propanaminium, 2-hydroxy-N,N,N-trimethyl-3-[(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)thio]-",88992-46-5,C6F13CH2CH2SCH2CH(OH)CH2N+(CH3)3,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Alcohol-resistant film forming fluoroprotein (AR-FFFP) foam,"1-Propanaminium, 2-hydroxy-N,N,N-trimethyl-3-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl)thio]-",727351-53-3,C8F17CH2CH2SCH2CH(OH)CH2N+(CH3)3,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Alcohol-resistant film forming fluoroprotein (AR-FFFP) foam,"1-Propanaminium, 2-hydroxy-N,N,N-trimethyl-3-[(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl)thio]-",1513864-17-9,C10F21CH2CH2SCH2CH(OH)CH2N+(CH3)3,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Alcohol-resistant film forming fluoroprotein (AR-FFFP) foam,7:1:2 Fluorotelomer betaine,171184-03-5,C7F15CFHCH2CH2N+(CH3)2CH2COOH,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Alcohol-resistant film forming fluoroprotein (AR-FFFP) foam,7:3 Fluorotelomer betaine,171184-15-9,C7F15CH2CH2CH2N+(CH3)2CH2COOH,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Alcohol-resistant film forming fluoroprotein (AR-FFFP) foam,Perfluorooctane sulfonamido amine,13417-01-1,C8F17SO2NHCH2CH2CH2N(CH3)2,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Aqueous film-forming foams (AFFF),Perfluorobutanoic acid (PFBA),375-22-4,C3F7COOH,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Aqueous film-forming foams (AFFF),Perfluoropentanoic acid (PFPeA),2706-90-3,C4F9COOH,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Aqueous film-forming foams (AFFF),Perfluorohexanoic acid (PFHxA),307-24-4,C5F11COOH,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Aqueous film-forming foams (AFFF),Perfluoroheptanoic acid (PFHpA),375-85-9,C6F13COOH,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Aqueous film-forming foams (AFFF),Perfluorooctanoic acid (PFOA),335-67-1,C7F15COOH,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Aqueous film-forming foams (AFFF),Perfluorononanoic acid (PFNA),375-95-1,C8F17COOH,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Aqueous film-forming foams (AFFF),Perfluorodecanoic acid (PFDA),335-76-2,C9F19COOH,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Aqueous film-forming foams (AFFF),Perfluoroundecanoic acid (PFUnDA),2058-94-8,C10F21COOH,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Aqueous film-forming foams (AFFF),Perfluorododecanoic acid (PFDoDA),307-55-1,C11F23COOH,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Aqueous film-forming foams (AFFF),Potassium perfluorooctanoate ,2395-00-8,C7F15COOH,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Aqueous film-forming foams (AFFF),Perfluoroethane sulfonic acid (PFEtS),354-88-1,C2F5SO3H,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Aqueous film-forming foams (AFFF),Perfluoropropane sulfonic acid (PFPrS),423-41-6,C3F7SO3H,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Aqueous film-forming foams (AFFF),Perfluorobutane sulfonic acid (PFBS),375-73-5,C4F9SO3H,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Aqueous film-forming foams (AFFF),Perfluoropentane sulfonic acid (PFPeS),2706-91-4,C5F11SO3H,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Aqueous film-forming foams (AFFF),Perfluorohexane sulfonic acid (PFHxS),355-46-4,C6F13SO3H,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Aqueous film-forming foams (AFFF),Perfluoroheptane sulfonic acid (PFHpS),375-92-8,C7F15SO3H,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Aqueous film-forming foams (AFFF),Perfluorooctane sulfonic acid (PFOS),1763-23-1,C8F17SO3H,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Aqueous film-forming foams (AFFF),Perfluorononane sulfonic acid (PFNS),474511-07-4,C9F19SO3H,Glüge et al. (2020),
Firefighting foams,Firefighting foams,Aqueous film-forming foams (AFFF),Perfluorodecane sulfonic acid (PFDS),335-77-3,C10F21SO3H,Glüge et al. (2020),
